Date,Open,High,Low,Close
9/10/24,14.2375,14.2375,12.1675,13.36
9/11/24,13.36,13.765,11.325,13.6275
9/12/24,13.6275,13.6275,11.14,13.1825
9/13/24,13.1825,13.1825,12.4675,12.55
9/16/24,12.55,12.955,12.31,12.46
9/17/24,12.46,12.75,11.8825,12.59
9/18/24,12.59,13.8475,12.26,13.3725
9/19/24,13.3725,13.3725,12.1,12.47
9/20/24,12.47,13.11,10.9025,12.79
9/23/24,12.79,14.03,12.4275,13.785
9/24/24,13.785,14.105,12.7425,13.3925
9/25/24,13.3925,13.61,8.98,12.7425
9/26/24,12.7425,12.7425,11.3525,12.0025
9/27/24,12.0025,12.08,10.5025,11.9625
9/30/24,11.9625,13.2375,11.6,12.7875
10/1/24,12.7875,12.7875,11.7125,11.9875
10/3/24,11.9875,13.9275,11.685,13.17
10/4/24,13.17,14.48,12.285,14.1275
10/7/24,14.1275,15.5,13.6175,15.08
10/8/24,15.08,15.555,13.8775,14.5875
10/9/24,14.5875,14.5875,12.7,14.1225
10/10/24,14.1225,14.1225,11.7275,13.495
10/11/24,13.495,13.7025,11.535,13.22
10/14/24,13.22,13.735,12.915,12.995
10/15/24,12.995,13.3625,10.9225,13.0025
10/16/24,13.0025,13.56,11.435,13.0525
10/17/24,13.0525,13.465,11.0625,13.3875
10/18/24,13.3875,14.06,12.8675,13.0375
10/21/24,13.0375,14.195,12.5525,13.7625
10/22/24,13.7625,14.515,9.47,14.395
10/23/24,14.395,15.0325,11.74,14.6225
10/24/24,14.6225,14.8975,12.695,13.97
10/25/24,13.97,15.08,13.35,14.6325
10/28/24,14.6325,15.4775,13.535,14.29
10/29/24,14.29,15.0275,13.5575,14.515
10/30/24,14.515,15.7,14.28,15.51
10/31/24,15.51,16.24,14.6525,15.55
11/1/24,15.55,16.125,13.6325,15.9025
11/4/24,15.9025,17.6,14.7775,16.6875
11/5/24,16.6875,19.02,15.795,16.1225
11/6/24,16.1225,20.75,14.7125,14.8675
11/7/24,14.8675,15.5225,14.2675,14.94
11/8/24,14.94,15.725,14.3925,14.47
11/11/24,14.47,15.47,13.1175,14.27
11/12/24,14.27,14.8375,12.74,14.59
11/13/24,14.59,15.865,13.9325,15.435
11/14/24,15.435,15.685,13.4075,14.775
11/18/24,14.775,16.58,13.755,15.1675
11/19/24,15.1675,16.185,12.7325,15.6625
11/21/24,15.6625,16.78,14.8375,15.99
11/22/24,15.99,18.67,12.7525,16.0975
11/25/24,16.0975,16.865,13.63,15.3025
11/26/24,15.3025,16.26,13.8725,15.305
11/27/24,15.305,15.305,13.245,14.625
11/28/24,14.625,15.5625,14.27,15.205
11/29/24,15.205,15.4575,14.3325,14.425
12/2/24,14.425,15.08,13.3125,14.7
12/3/24,14.7,14.89,14.235,14.3725
12/4/24,14.3725,14.7975,14.11,14.45
12/5/24,14.45,15.705,14.055,14.5275
12/6/24,14.5275,15.0225,14.045,14.14
12/9/24,14.14,14.635,13.45,14.1075
12/10/24,14.1075,14.6725,13.6975,13.7775
12/11/24,13.7775,14.11,13.175,13.2675
12/12/24,13.2675,13.4,12.9475,13.19
12/13/24,13.19,14.72,12.47,13.0525
